store_id,sizeshop,tong_dien_tichm2,rong_ngang_m,dai_sau_m,kv_ban_hangm2,kho_m2,via_he_rongm,khai_truong_date,is_southern
CPS-HNO-TTR-361NH,2,95.0,8.3,9.0,67.0,28.0,,2025-01-10,0
CPS-HNO-HKI-55AHB,2,184.0,5.5,25.0,129.0,55.0,,2024-12-28,0
CPS-HNO-HDO-87PH,2,160.0,9.6,11.35,91.0,69.0,,2025-01-24,0
CPS-DTH-SAD-103HV,1,,,,,,,2026-04-15,1
CPS-HPH-HPH-163ADN,2,157.93,8.4,9.3,82.6,120.0,1.0,2022-10-22,0
CPS-HNO-THO-126LLQ,4,162.0,10.4,11.8,148.0,60.0,2.0,2021-05-07,0
CPS-HCM-Q06-1075BHG,4,158.7,10.2,8.5,86.7,25.0,2.0,2018-05-26,1
CPS-HCM-Q08-579DBT,3,355.91,21.55,12.2,177.96,73.7,2.0,2021-11-25,1
CPS-KGI-RGI-117NTT,3,324.8,11.2,29.0,212.8,22.5,2.0,2022-07-23,1
CPS-HCM-TBI-672AC,3,161.58,15.0,19.53,128.38,10.4,2.0,2014-11-15,1
CPS-LDO-DLA-04NVC,3,261.36,9.9,13.2,130.68,16.0,2.0,2022-08-17,1
CPS-BNI-BNI-334THD,3,163.0,13.9,12.0,150.0,12.0,2.0,2021-10-08,0
CPS-HCM-Q01-157NTMK,3,95.1,6.5,15.4,73.31,11.47,2.0,2016-03-26,1
CPS-HNO-HMA-265LN,1,420.0,6.45,11.2,81.0,339.0,2.0,2025-01-13,0
CPS-HNO-HMA-546TD,4,168.3,9.9,17.0,150.0,10.0,2.3,2019-01-06,0
CPS-HNO-HDO-140VP,3,101.5,7.0,14.5,86.0,100.0,2.5,2020-09-26,0
CPS-HNO-GLA-51NXQ,3,154.0,11.0,14.0,111.66,30.0,2.5,2022-06-26,0
CPS-PTH-VTR-2379HV,2,118.57,7.1,16.7,117.24,60.0,2.5,2022-07-30,0
CPS-HNO-TXU-543NT,4,85.68,10.2,8.4,33.0,50.0,3.0,2016-11-12,0
CPS-HNO-TXU-300NT,4,225.0,7.8,10.7,150.0,90.0,3.0,2019-08-17,0
CPS-HUE-PHO-5HV,3,85.0,8.5,10.0,85.0,30.0,3.0,2024-02-24,0
CPS-BDU-TAN-100NVT,3,234.36,10.8,15.0,162.0,20.1,3.0,2022-09-11,1
CPS-BDU-TDM-183PL,3,177.41,9.24,19.2,140.45,16.0,3.0,2022-07-29,1
CPS-HCM-Q07-571HTP,3,443.3,14.3,15.5,221.65,31.2,3.0,2022-01-14,1
CPS-BGI-BGI-135HV,3,147.32,19.8,7.44,119.72,70.0,3.0,2022-09-20,0
CPS-HCM-PNH-114PDL,3,170.5,11.0,15.5,159.28,28.71,3.0,2017-12-16,1
CPS-BDU-DAN-253NAN,3,137.5,5.5,25.0,118.4,16.5,3.0,2021-06-03,1
CPS-HCM-GVA-567LQD,3,201.25,12.5,18.2,175.0,17.6,3.0,2021-11-08,1
CPS-HCM-Q01-220TQK,3,437.4,9.0,24.3,218.7,49.5,3.0,2021-11-28,1
CPS-HCM-HMO-4/39QT,2,157.44,8.2,19.2,124.64,20.8,3.0,2019-04-27,1
CPS-AGI-LXG-912THD,2,250.47,10.89,23.0,196.02,20.0,3.0,2022-08-29,1
CPS-BDU-TAN-63HHMH,2,236.4,12.0,17.0,180.0,26.68,3.0,2023-07-01,1
CPS-BRI-BRI-31NHT,2,176.0,22.0,8.0,128.0,21.6,3.0,2024-12-14,1
CPS-HCM-TDU-943KVC,2,178.5,10.5,17.0,147.0,15.7,3.0,2022-08-27,1
CPS-CMA-CMA-34THD,2,148.2,7.8,19.0,180.0,11.7,3.0,2022-11-12,1
CPS-TNI-TBG-214QL22,2,296.0,16.0,18.5,190.4,19.2,3.0,2022-09-10,1
CPS-HCM-BTA-127NTT,2,157.44,8.2,19.2,114.8,27.0,3.0,2021-03-26,1
CPS-HCM-TBI-956AC,2,322.0,11.5,28.0,209.09,17.9,3.0,2021-06-11,1
CPS-HCM-BTA-386HL2,2,160.0,15.0,6.0,80.0,28.0,3.0,2021-01-08,1
CPS-AGI-RGI-405NTT,1,270.0,10.3,27.0,170.0,100.0,3.0,2025-10-09,1
CPS-LDO-DLA-279BTX,1,529.75,6.5,16.3,105.95,36.5,3.0,2025-04-14,1
CPS-QNI-BCH-690HL,1,135.0,8.5,10.5,80.0,50.0,3.0,2025-10-31,0
CPS-HPH-HAN-78NGT,1,120.0,4.5,18.0,80.0,40.0,3.0,2025-12-31,0
CPS-BNI-TSO-242TP,1,140.0,8.75,10.0,93.0,47.0,3.0,2025-01-05,0
CPS-LDO-DTR-81TN,1,119.7,10.2,13.8,100.98,20.64,3.0,2025-04-20,1
CPS-QNI-HGA-19THD,1,315.0,8.77,14.0,105.0,150.0,3.0,2025-12-05,0
CPS-NBI-HNA-276LH,1,500.0,9.0,27.0,135.0,365.0,3.0,2025-12-25,0
CPS-HNO-THO-143NT,1,220.0,8.2,11.0,80.0,80.0,3.0,2025-12-05,0
CPS-HNO-CGI-48TDH,4,187.2,5.2,15.0,99.0,150.0,3.5,2022-05-08,0
CPS-VPH-VYE-3ML,2,120.0,8.0,14.5,85.0,85.0,3.5,2021-10-29,0
CPS-BDU-TDM-427DLBD,4,448.0,14.0,32.0,266.0,28.4,4.0,2022-02-18,1
CPS-HCM-Q07-248NTT,4,164.0,8.2,20.0,121.36,16.0,4.0,2018-06-26,1
CPS-HCM-GVA-525AQT,4,232.78,10.3,18.0,185.4,27.6,4.0,2021-06-05,1
CPS-HCM-Q01-55BTQK,4,345.0,11.2,20.0,194.9,50.05,4.0,2015-06-06,1
