store_id,YearMonth,num_order,num_product,order_delivered,order_pickup,order_onsite,pct_delivered
CPS-AGI-CDO-272LL,2025-10,283,176,9,7,267,0.03180212
CPS-AGI-CDO-272LL,2025-11,1168,706,53,102,1013,0.045376712
CPS-AGI-CDO-272LL,2025-12,990,640,47,105,838,0.047474747
CPS-AGI-CDO-272LL,2026-01,995,585,55,91,849,0.055276382
CPS-AGI-CDO-272LL,2026-02,1552,822,42,125,1385,0.027061856
CPS-AGI-CDO-272LL,2026-03,42,20,1,2,39,0.023809524
CPS-AGI-LXG-1393THD,2025-10,1222,832,54,82,1086,0.044189853
CPS-AGI-LXG-1393THD,2025-11,1113,738,52,161,900,0.046720575
CPS-AGI-LXG-1393THD,2025-12,987,649,38,91,858,0.038500507
CPS-AGI-LXG-1393THD,2026-01,886,581,31,90,765,0.034988713
CPS-AGI-LXG-1393THD,2026-02,1494,893,33,163,1298,0.022088353
CPS-AGI-LXG-1393THD,2026-03,39,26,1,0,38,0.025641026
CPS-AGI-LXG-912THD,2025-10,1067,689,65,54,948,0.060918463
CPS-AGI-LXG-912THD,2025-11,919,595,43,99,777,0.046789989
CPS-AGI-LXG-912THD,2025-12,714,489,47,35,632,0.065826331
CPS-AGI-LXG-912THD,2026-01,769,476,43,47,679,0.055916775
CPS-AGI-LXG-912THD,2026-02,950,589,36,109,805,0.037894737
CPS-AGI-LXG-912THD,2026-03,38,21,2,3,33,0.052631579
CPS-AGI-RGI-405NTT,2025-10,412,272,6,38,368,0.014563107
CPS-AGI-RGI-405NTT,2025-11,780,461,39,82,659,0.05
CPS-AGI-RGI-405NTT,2025-12,729,449,51,72,606,0.069958848
CPS-AGI-RGI-405NTT,2026-01,666,432,46,33,587,0.069069069
CPS-AGI-RGI-405NTT,2026-02,865,559,60,145,660,0.069364162
CPS-AGI-RGI-405NTT,2026-03,30,19,5,5,20,0.166666667
CPS-BDI-QNH-669THD,2025-10,1414,957,60,113,1241,0.042432815
CPS-BDI-QNH-669THD,2025-11,1398,1038,96,127,1175,0.068669528
CPS-BDI-QNH-669THD,2025-12,1330,944,89,104,1137,0.066917293
CPS-BDI-QNH-669THD,2026-01,1180,860,84,111,985,0.071186441
CPS-BDI-QNH-669THD,2026-02,1746,1151,58,143,1545,0.033218786
CPS-BDI-QNH-669THD,2026-03,81,51,2,6,73,0.024691358
CPS-BDU-DAN-253NAN,2025-10,2392,1554,125,274,1993,0.052257525
CPS-BDU-DAN-253NAN,2025-11,2120,1432,141,235,1744,0.066509434
CPS-BDU-DAN-253NAN,2025-12,1836,1296,145,144,1547,0.078976035
CPS-BDU-DAN-253NAN,2026-01,1880,1244,98,191,1591,0.05212766
CPS-BDU-DAN-253NAN,2026-02,2102,1346,100,339,1663,0.047573739
CPS-BDU-DAN-253NAN,2026-03,101,60,3,8,90,0.02970297
CPS-BDU-TAN-100NVT,2025-10,1429,965,76,161,1192,0.053184045
CPS-BDU-TAN-100NVT,2025-11,1357,946,82,142,1133,0.060427413
CPS-BDU-TAN-100NVT,2025-12,1197,839,77,92,1028,0.064327485
CPS-BDU-TAN-100NVT,2026-01,1294,881,70,137,1087,0.054095827
CPS-BDU-TAN-100NVT,2026-02,1434,918,66,207,1161,0.046025105
CPS-BDU-TAN-100NVT,2026-03,64,44,0,8,56,0
CPS-BDU-TAN-63HHMH,2025-10,1215,797,99,141,975,0.081481481
CPS-BDU-TAN-63HHMH,2025-11,1185,760,114,161,910,0.096202532
CPS-BDU-TAN-63HHMH,2025-12,1011,702,123,102,786,0.121661721
CPS-BDU-TAN-63HHMH,2026-01,1000,666,105,105,790,0.105
CPS-BDU-TAN-63HHMH,2026-02,1107,701,93,131,883,0.08401084
CPS-BDU-TAN-63HHMH,2026-03,63,38,4,9,50,0.063492063
CPS-BDU-TAU-156DT747,2025-10,944,607,105,117,722,0.111228814
CPS-BDU-TAU-156DT747,2025-11,977,618,133,121,723,0.136131013
CPS-BDU-TAU-156DT747,2025-12,818,517,89,78,651,0.108801956
CPS-BDU-TAU-156DT747,2026-01,746,509,118,69,559,0.158176944
CPS-BDU-TAU-156DT747,2026-02,797,494,89,79,629,0.111668758
CPS-BDU-TAU-156DT747,2026-03,25,18,1,2,22,0.04
CPS-BDU-TDM-183PL,2025-10,1649,1152,100,192,1357,0.060642814
CPS-BDU-TDM-183PL,2025-11,1672,1176,100,211,1361,0.059808612
CPS-BDU-TDM-183PL,2025-12,1611,1133,140,149,1322,0.086902545
CPS-BDU-TDM-183PL,2026-01,1488,1025,111,173,1204,0.074596774
CPS-BDU-TDM-183PL,2026-02,1708,1092,77,182,1449,0.045081967
CPS-BDU-TDM-183PL,2026-03,86,54,3,10,73,0.034883721
CPS-BDU-TDM-427DLBD,2025-10,2561,1697,110,289,2162,0.042951972
CPS-BDU-TDM-427DLBD,2025-11,2624,1737,137,291,2196,0.052210366
CPS-BDU-TDM-427DLBD,2025-12,2158,1509,96,224,1838,0.044485635
CPS-BDU-TDM-427DLBD,2026-01,2167,1505,127,211,1829,0.058606368
CPS-BDU-TDM-427DLBD,2026-02,2528,1613,130,362,2036,0.051424051
CPS-BDU-TDM-427DLBD,2026-03,118,69,3,22,93,0.025423729
CPS-BGI-BGI-135HV,2025-10,642,524,37,56,549,0.057632399
CPS-BGI-BGI-135HV,2025-11,579,483,38,60,481,0.065630397
CPS-BGI-BGI-135HV,2025-12,545,447,31,37,477,0.056880734
CPS-BGI-BGI-135HV,2026-01,456,377,25,53,378,0.054824561
CPS-BGI-BGI-135HV,2026-02,624,517,34,46,544,0.054487179
CPS-BGI-BGI-135HV,2026-03,29,24,1,0,28,0.034482759
CPS-BLI-BLI-289TP,2025-10,916,592,28,57,831,0.030567686
CPS-BLI-BLI-289TP,2025-11,913,545,47,104,762,0.051478642
CPS-BLI-BLI-289TP,2025-12,803,508,50,72,681,0.062266501
CPS-BLI-BLI-289TP,2026-01,754,495,27,39,688,0.035809019
CPS-BLI-BLI-289TP,2026-02,972,596,30,54,888,0.030864198
CPS-BLI-BLI-289TP,2026-03,37,25,5,1,31,0.135135135
CPS-BNI-BNI-334THD,2025-10,997,817,42,102,853,0.042126379
CPS-BNI-BNI-334THD,2025-11,916,750,44,105,767,0.048034934
CPS-BNI-BNI-334THD,2025-12,859,692,39,73,747,0.04540163
CPS-BNI-BNI-334THD,2026-01,803,641,36,79,688,0.04483188
CPS-BNI-BNI-334THD,2026-02,1001,770,39,92,870,0.038961039
