Feature,SHAP_Decision Tree,SHAP_Random Forest,SHAP_XGBoost
delay_max_hours,0.8354184954516051,0.7636423558003365,0.6504395
order_other_tickets,0.1803658574356124,0.2785441325582122,0.32189104
order_delivered_tickets,0.23915985070158666,0.07185605353643235,0.091581486
promise_gap_mean_hours,0.11224203564137075,0.05093296171350743,0.06136821
delay_mean_hours,0.0,0.030078864180210416,0.052203316
PO_score,0.0,0.010481523292767173,0.05001696
planogram_score,0.05055466594849284,0.04024472590303227,0.04443796
speed_mean_hours,0.0,0.04017596770098821,0.044048153
PS_score,0.1319962028765477,0.03713573350529266,0.042669624
num_order,0.0,0.007781092260404187,0.03214024
err_electronic_price_board,0.0,0.009146322910944145,0.030133894
pct_delivered,0.0,0.01884981866416184,0.02178097
via_he_rongm,0.0,0.0026336425749353327,0.019436412
kv_ban_hangm2,0.1027374821755574,0.009356523629797105,0.018731438
kho_m2,0.0,0.008497212790870819,0.013245188
dai_sau_m,0.0,0.0017529567201416045,0.012223393
PI_score,0.0,0.002336740025099375,0.011885313
tenure,0.0,0.0068808666439072715,0.011444712
tong_dien_tichm2,0.03751776321172805,0.005772620532763472,0.011127333
err_operations,0.0,0.014149378083338661,0.006231788
is_southern,0.0,0.0013831759542660901,0.004670867
err_advisory_partition,0.0,0.0008235452098609811,0.004627107
PA_score,0.0,0.0015627187018680115,0.0039572003
ontime_rate,0.0,0.0020547244605575794,0.0037061304
rong_ngang_m,0.0,0.003007602311276468,0.0021507798
order_pickup_tickets,0.0,0.0,0.0
order_onsite_tickets,0.0,0.0,0.0
R_score,0.0,0.0,0.0
